"hdiRank","country","hdi2019","pop2022"
"1","Norway","0.9570","5511.3700"
"2","Switzerland","0.9550","8773.6370"
"2","Ireland","0.9550","5020.1990"
"4","Hong Kong","0.9490","7604.2990"
"4","Iceland","0.9490","345.3930"
"6","Germany","0.9470","83883.5960"
"7","Sweden","0.9450","10218.9710"
"8","Australia","0.9440","26068.7920"
"8","Netherlands","0.9440","17211.4470"
"10","Denmark","0.9400","5834.9500"
"11","Singapore","0.9380","5943.5460"
"11","Finland","0.9380","5554.9600"
"13","United Kingdom","0.9320","68497.9070"
"14","Belgium","0.9310","11668.2780"
"14","New Zealand","0.9310","4898.2030"
"16","Canada","0.9290","38388.4190"
"17","United States","0.9260","334805.2690"
"18","Austria","0.9220","9066.7100"
"19","Japan","0.9190","125584.8380"
"19","Israel","0.9190","8922.8920"
"19","Liechtenstein","0.9190","38.3870"
"22","Slovenia","0.9170","2078.0340"
"23","South Korea","0.9160","51329.8990"
"23","Luxembourg","0.9160","642.3710"
"25","Spain","0.9040","46719.1420"
"26","France","0.9010","65584.5180"
"28","Malta","0.8950","444.0330"
"29","Italy","0.8920","60262.7700"
"29","Estonia","0.8920","1321.9100"
"31","United Arab Emirates","0.8900","10081.7850"
"32","Greece","0.8880","10316.6370"
"33","Cyprus","0.8870","1223.3870"
"34","Lithuania","0.8820","2661.7080"
"35","Poland","0.8800","37739.7850"
"36","Andorra","0.8680","77.4630"
"37","Latvia","0.8660","1848.8370"
"38","Portugal","0.8640","10140.5700"
"39","Slovakia","0.8600","5460.1930"
"40","Saudi Arabia","0.8540","35844.9090"
"40","Hungary","0.8540","9606.2590"
"42","Bahrain","0.8520","1783.9830"
"43","Chile","0.8510","19250.1950"
"43","Croatia","0.8510","4059.2860"
"45","Qatar","0.8480","2979.9150"
"46","Argentina","0.8450","46010.2340"
"48","Montenegro","0.8290","627.9500"
"49","Romania","0.8280","19031.3350"
"50","Palau","0.8260","18.2330"
"51","Kazakhstan","0.8250","19205.0430"
"52","Russia","0.8240","145805.9470"
"53","Belarus","0.8230","9432.8000"
"54","Turkey","0.8200","85561.9760"
"55","Uruguay","0.8170","3496.0160"
"56","Bulgaria","0.8160","6844.5970"
"57","Panama","0.8150","4446.9640"
"58","Bahamas","0.8140","400.5160"
"58","Barbados","0.8140","288.0230"
"60","Oman","0.8130","5323.9930"
"61","Georgia","0.8120","3968.7380"
"62","Malaysia","0.8100","33181.0720"
"62","Costa Rica","0.8100","5182.3540"
"64","Serbia","0.8060","8653.0160"
"64","Kuwait","0.8060","4380.3260"
"66","Mauritius","0.8040","1274.7270"
